period start,symbol,price,change %,min,max,30d avg
2020-12-20T00:00:00+00:00,XEL,$69.84,10.54%,$56.44,$71.13,$68.06                                    
2020-12-20T00:00:00+00:00,UAA,$18.26,5.24%,$16.87,$26.96,$19.90                                     
2020-12-20T00:00:00+00:00,INTU,$534.82,42.87%,$359.49,$694.66,$585.94                               
2020-12-20T00:00:00+00:00,OXY,$37.57,115.36%,$16.90,$37.57,$32.43                                   
2020-12-20T00:00:00+00:00,ITW,$231.90,16.81%,$190.21,$247.58,$241.65                                
2020-12-20T00:00:00+00:00,TT,$172.09,22.66%,$137.02,$205.29,$189.84                                 
2020-12-20T00:00:00+00:00,NOC,$380.19,30.03%,$281.58,$404.85,$391.14                                
2020-12-20T00:00:00+00:00,HCA,$236.66,46.61%,$155.66,$261.12,$250.50                                
2020-12-20T00:00:00+00:00,GPS,$17.77,-10.84%,$15.86,$35.78,$17.42                                   
2020-12-20T00:00:00+00:00,RE,$280.39,25.28%,$206.17,$290.90,$276.89                                 
2020-12-20T00:00:00+00:00,NI,$29.27,40.92%,$20.51,$29.27,$27.54                                     
2020-12-20T00:00:00+00:00,GIS,$69.37,22.55%,$52.63,$69.90,$67.67                                    
2020-12-20T00:00:00+00:00,STX,$107.02,68.97%,$57.77,$116.02,$108.13                                 
2020-12-20T00:00:00+00:00,SLB,$39.68,85.37%,$20.99,$39.80,$33.87                                    
2020-12-20T00:00:00+00:00,K,$65.26,10.08%,$54.79,$67.53,$65.24                                      
2020-12-20T00:00:00+00:00,CF,$71.10,93.89%,$35.38,$74.32,$68.79                                     
2020-12-20T00:00:00+00:00,SRE,$136.85,11.71%,$112.13,$140.47,$133.24                                
2020-12-20T00:00:00+00:00,ALB,$206.45,46.55%,$139.56,$283.34,$227.65                                
2020-12-20T00:00:00+00:00,ALLE,$121.20,8.64%,$105.84,$147.34,$126.72                                
2020-12-20T00:00:00+00:00,PEG,$66.04,20.92%,$52.06,$67.00,$65.48                                    
2020-12-20T00:00:00+00:00,XRX,$20.52,-3.17%,$17.60,$25.76,$22.27                                    
2020-12-20T00:00:00+00:00,MMM,$163.12,-4.19%,$160.12,$202.84,$176.10                                
2020-12-20T00:00:00+00:00,KLAC,$366.65,42.23%,$249.90,$445.00,$411.47                               
2020-12-20T00:00:00+00:00,SYK,$248.71,7.24%,$218.82,$278.71,$261.72                                 
2020-12-20T00:00:00+00:00,FIS,$117.38,-15.08%,$101.98,$154.23,$112.34                               
2020-12-20T00:00:00+00:00,ALK,$52.25,4.04%,$46.29,$73.74,$53.15                                     
2020-12-20T00:00:00+00:00,MOS,$39.77,73.27%,$21.44,$43.61,$39.65                                    
2020-12-20T00:00:00+00:00,NWL,$23.00,15.41%,$19.93,$28.54,$22.59                                    
2020-12-20T00:00:00+00:00,LH,$270.20,31.86%,$201.51,$314.21,$290.86                                 
2020-12-20T00:00:00+00:00,VRSN,$211.59,-1.54%,$188.10,$255.93,$235.22                               
2020-12-20T00:00:00+00:00,AEE,$87.61,16.72%,$68.43,$89.06,$87.69                                    
2020-12-20T00:00:00+00:00,REGN,$624.92,25.80%,$446.73,$680.96,$620.92                               
2020-12-20T00:00:00+00:00,LRCX,$561.14,17.18%,$466.88,$729.82,$674.38                               
2020-12-20T00:00:00+00:00,AMZN,$2879.56,-10.19%,$2777.45,$3731.41,$3238.07                          
2020-12-20T00:00:00+00:00,SYF,$41.42,26.64%,$32.59,$52.11,$46.50                                    
2020-12-20T00:00:00+00:00,RHI,$110.28,80.63%,$60.19,$119.18,$110.38                                 
2020-12-20T00:00:00+00:00,VRTX,$243.02,3.61%,$177.01,$243.02,$224.55                                
2020-12-20T00:00:00+00:00,KSU,$293.59,49.68%,$194.29,$312.28,$301.92                                
2020-12-20T00:00:00+00:00,LNC,$68.60,46.53%,$44.33,$75.66,$69.26                                    
2020-12-20T00:00:00+00:00,MCD,$256.02,23.72%,$201.49,$269.69,$262.20                                
2020-12-20T00:00:00+00:00,KEY,$25.13,65.18%,$15.20,$27.01,$24.52                                    
2020-12-20T00:00:00+00:00,INCY,$74.23,-14.65%,$63.34,$100.50,$73.63                                 
2020-12-20T00:00:00+00:00,UAL,$40.91,-7.15%,$39.06,$62.45,$44.13                                    
2020-12-20T00:00:00+00:00,PLD,$155.11,62.70%,$92.06,$168.36,$158.15                                 
2020-12-20T00:00:00+00:00,NTRS,$115.64,30.21%,$87.00,$133.62,$122.09                                
2020-12-20T00:00:00+00:00,SJM,$140.61,26.65%,$107.96,$145.35,$139.02                                
2020-12-20T00:00:00+00:00,MAR,$159.38,25.18%,$116.31,$168.39,$160.80                                
2020-12-20T00:00:00+00:00,DLTR,$128.49,15.22%,$84.54,$146.61,$135.45                                
2020-12-20T00:00:00+00:00,SPGI,$406.43,28.17%,$303.58,$478.97,$445.31                               
2020-12-20T00:00:00+00:00,PPL,$29.69,17.71%,$24.73,$30.25,$29.76                                    
2020-12-20T00:00:00+00:00,CRM,$222.06,-1.95%,$205.33,$309.96,$237.29                                
2020-12-20T00:00:00+00:00,AON,$270.23,30.23%,$200.54,$320.57,$285.81                                
2020-12-20T00:00:00+00:00,CBRE,$98.29,57.54%,$59.42,$110.30,$103.72                                 
2020-12-20T00:00:00+00:00,ROP,$435.18,3.70%,$369.98,$497.77,$461.19                                 
2020-12-20T00:00:00+00:00,PEP,$172.67,20.58%,$127.19,$175.64,$172.50                                
2020-12-20T00:00:00+00:00,SWK,$171.98,-3.65%,$166.75,$218.12,$184.60                                
2020-12-20T00:00:00+00:00,NFLX,$384.36,-27.33%,$359.70,$691.69,$532.79                              
2020-12-20T00:00:00+00:00,TEL,$140.44,21.66%,$115.18,$165.55,$156.60                                
2020-12-20T00:00:00+00:00,QCOM,$166.81,14.75%,$122.57,$189.28,$178.73                               
2020-12-20T00:00:00+00:00,AMAT,$132.45,54.37%,$83.44,$167.00,$150.81                                
2020-12-20T00:00:00+00:00,UNM,$24.99,23.62%,$20.18,$30.85,$25.47                                    
2020-12-20T00:00:00+00:00,SNPS,$296.35,16.56%,$218.49,$375.59,$339.14                               
2020-12-20T00:00:00+00:00,PNW,$70.84,-4.26%,$62.55,$86.14,$69.94                                    
2020-12-20T00:00:00+00:00,IRM,$44.99,63.25%,$26.47,$52.77,$48.17                                    
2020-12-20T00:00:00+00:00,PYPL,$163.52,-31.21%,$156.98,$308.53,$182.45                              
2020-12-20T00:00:00+00:00,IQV,$238.99,35.21%,$173.00,$282.61,$259.46                                
2020-12-20T00:00:00+00:00,ROL,$29.96,-23.80%,$29.70,$41.04,$32.70                                   
2020-12-20T00:00:00+00:00,HUM,$386.24,0.09%,$363.17,$469.68,$418.17                                 
2020-12-20T00:00:00+00:00,FITB,$44.47,70.01%,$25.93,$50.45,$45.50                                   
2020-12-20T00:00:00+00:00,PNR,$63.22,22.42%,$50.75,$79.83,$68.93                                    
2020-12-20T00:00:00+00:00,FMC,$108.47,-3.76%,$86.90,$120.09,$108.57                                 
2020-12-20T00:00:00+00:00,HD,$366.72,38.15%,$245.80,$416.18,$386.17                                 
2020-12-20T00:00:00+00:00,NOW,$561.33,1.91%,$454.40,$701.73,$580.48                                 
2020-12-20T00:00:00+00:00,KO,$60.84,18.84%,$46.68,$61.39,$59.63                                     
2020-12-20T00:00:00+00:00,LKQ,$54.17,51.47%,$34.57,$60.03,$57.00                                    
2020-12-20T00:00:00+00:00,VZ,$52.90,-5.93%,$49.18,$57.48,$52.66                                     
2020-12-20T00:00:00+00:00,WST,$392.62,42.56%,$256.80,$471.12,$417.43                                
2020-12-20T00:00:00+00:00,PCAR,$93.66,9.85%,$78.77,$99.25,$90.36                                    
2020-12-20T00:00:00+00:00,HPE,$16.13,42.68%,$11.21,$17.56,$16.27                                    
2020-12-20T00:00:00+00:00,LNT,$59.31,21.35%,$45.19,$61.74,$60.12                                    
2020-12-20T00:00:00+00:00,ODFL,$293.49,48.61%,$190.37,$364.00,$329.60                               
2020-12-20T00:00:00+00:00,FISV,$104.89,-6.76%,$95.55,$126.55,$105.55                                
2020-12-20T00:00:00+00:00,ZBRA,$492.57,31.03%,$375.91,$614.55,$546.84                               
2020-12-20T00:00:00+00:00,PRU,$110.19,51.56%,$71.56,$117.40,$110.89                                 
2020-12-20T00:00:00+00:00,STE,$220.03,20.48%,$170.20,$245.17,$234.12                                
2020-12-20T00:00:00+00:00,JNPR,$33.66,54.10%,$21.55,$35.77,$34.12                                   
2020-12-20T00:00:00+00:00,CBOE,$116.00,30.53%,$86.64,$134.57,$123.88                                
2020-12-20T00:00:00+00:00,ROK,$284.59,15.87%,$237.42,$351.35,$331.13                                
2020-12-20T00:00:00+00:00,CMA,$93.24,79.28%,$52.01,$101.24,$91.43                                   
2020-12-20T00:00:00+00:00,DFS,$113.87,33.02%,$80.83,$134.28,$118.95                                 
2020-12-20T00:00:00+00:00,INTC,$47.73,4.22%,$45.61,$67.84,$52.36                                    
2020-12-20T00:00:00+00:00,ORCL,$80.50,27.24%,$59.45,$103.27,$87.96                                  
2020-12-20T00:00:00+00:00,FTNT,$282.16,93.31%,$138.11,$367.67,$322.76                               
2020-12-20T00:00:00+00:00,DVN,$51.56,252.66%,$14.17,$51.79,$46.62                                   
2020-12-20T00:00:00+00:00,VFC,$62.96,-23.95%,$62.96,$88.30,$70.55                                   
2020-12-20T00:00:00+00:00,ORLY,$643.52,42.19%,$425.47,$708.14,$675.63                               
2020-12-20T00:00:00+00:00,ULTA,$358.83,33.82%,$264.64,$418.74,$382.80                               
2020-12-20T00:00:00+00:00,VMC,$188.45,32.74%,$140.17,$210.53,$199.44                                
